Plant_ID,Date,Temperature (°C),Humidity (%),TDS Value (ppm),pH Level,Growth Days,Temperature (F),Humidity
3,9/14/2023,29.1,73,747,6.1,43,84.38,0.73
3,9/15/2023,30.6,58,479,6.7,44,87.08,0.58
3,9/16/2023,31.5,73,691,6.7,45,88.7,0.73
3,9/17/2023,30.5,75,517,6.4,46,86.9,0.75
3,9/18/2023,29.7,72,549,6.6,47,85.46,0.72
4,8/3/2023,33.4,62,547,6.7,1,92.12,0.62
4,8/4/2023,33.5,54,609,6.7,2,92.3,0.54
4,8/5/2023,33.4,60,794,6.3,3,92.12,0.6
4,8/6/2023,33.4,58,562,6,4,92.12,0.58
4,8/7/2023,33.4,57,726,6.1,5,92.12,0.57
4,8/8/2023,32.3,59,442,6.7,6,90.14,0.59
4,8/9/2023,32.3,65,598,6.4,7,90.14,0.65
4,8/10/2023,22.7,57,549,6.5,8,72.86,0.57
4,8/11/2023,31.9,69,785,6.7,9,89.42,0.69
4,8/12/2023,30.2,66,762,6.3,10,86.36,0.66
4,8/13/2023,30.1,70,419,6.1,11,86.18,0.7
4,8/14/2023,30.1,64,525,6.2,12,86.18,0.64
4,8/15/2023,30.1,66,608,6.7,13,86.18,0.66
4,8/16/2023,29.8,52,458,6.3,14,85.64,0.52
4,8/17/2023,29.6,59,571,6,15,85.28,0.59
4,8/18/2023,30.9,57,747,6.7,16,87.62,0.57
4,8/19/2023,30.8,77,518,6.7,17,87.44,0.77
4,8/20/2023,30.9,66,490,6.3,18,87.62,0.66
4,8/21/2023,30.2,71,502,6.7,19,86.36,0.71
4,8/22/2023,30.5,58,631,6.1,20,86.9,0.58
4,8/23/2023,30.8,58,735,6.4,21,87.44,0.58
4,8/24/2023,31.3,73,418,6.7,22,88.34,0.73
4,8/25/2023,31.4,63,740,6.1,23,88.52,0.63
4,8/26/2023,31.4,53,402,6.7,24,88.52,0.53
4,8/27/2023,30.1,66,652,6.6,25,86.18,0.66
4,8/28/2023,29.4,56,437,6.7,26,84.92,0.56
4,8/29/2023,28.7,73,558,6.5,27,83.66,0.73
4,8/30/2023,29.1,71,525,6.6,28,84.38,0.71
4,8/31/2023,29.2,63,604,6.5,29,84.56,0.63
4,9/1/2023,31.7,68,787,6.6,30,89.06,0.68
4,9/2/2023,31.7,71,711,6.8,31,89.06,0.71
4,9/3/2023,31.7,69,546,6.3,32,89.06,0.69
4,9/4/2023,31.7,71,485,6.2,33,89.06,0.71
4,9/5/2023,32,71,497,6.7,34,89.6,0.71
4,9/6/2023,32.1,51,577,6.1,35,89.78,0.51
4,9/7/2023,31.5,60,647,6.5,36,88.7,0.6
4,9/8/2023,29.8,78,564,6.2,37,85.64,0.78
4,9/9/2023,20.1,51,530,6.2,38,68.18,0.51
4,9/10/2023,31.1,63,543,6.3,39,87.98,0.63
4,9/11/2023,31.2,50,491,6.2,40,88.16,0.5
4,9/12/2023,31.2,72,729,6.6,41,88.16,0.72
4,9/13/2023,30.4,64,698,6.1,42,86.72,0.64
4,9/14/2023,29.1,62,530,6.8,43,84.38,0.62
4,9/15/2023,30.6,58,764,6.4,44,87.08,0.58
4,9/16/2023,31.5,63,654,6.7,45,88.7,0.63
4,9/17/2023,31.3,71,652,6.8,46,88.34,0.71
4,9/18/2023,30.8,63,754,6.1,47,87.44,0.63
4,9/19/2023,30.6,62,641,6.2,48,87.08,0.62
5,8/3/2023,33.4,67,651,6.3,1,92.12,0.67
5,8/4/2023,33.5,53,684,6.6,2,92.3,0.53
5,8/5/2023,33.4,54,449,6.1,3,92.12,0.54
5,8/6/2023,33.4,76,572,6.6,4,92.12,0.76
5,8/7/2023,33.4,67,571,6.7,5,92.12,0.67
5,8/8/2023,32.3,50,481,6.5,6,90.14,0.5
5,8/9/2023,32.3,74,558,6.7,7,90.14,0.74
5,8/10/2023,22.7,59,652,6.5,8,72.86,0.59
5,8/11/2023,31.9,54,637,6.7,9,89.42,0.54
5,8/12/2023,30.2,77,417,6.8,10,86.36,0.77
5,8/13/2023,30.1,79,429,6.2,11,86.18,0.79
5,8/14/2023,30.1,63,500,6.5,12,86.18,0.63
5,8/15/2023,30.1,75,675,6.8,13,86.18,0.75
5,8/16/2023,29.8,78,624,6.3,14,85.64,0.78
5,8/17/2023,29.6,65,525,6.3,15,85.28,0.65
5,8/18/2023,30.9,78,778,6,16,87.62,0.78
5,8/19/2023,30.8,68,678,6.1,17,87.44,0.68
5,8/20/2023,30.9,57,502,6.7,18,87.62,0.57
5,8/21/2023,30.2,67,766,6.1,19,86.36,0.67
5,8/22/2023,30.5,78,722,6.2,20,86.9,0.78
5,8/23/2023,30.8,61,460,6.2,21,87.44,0.61
5,8/24/2023,31.3,57,587,6.5,22,88.34,0.57
5,8/25/2023,31.4,53,646,6.2,23,88.52,0.53
5,8/26/2023,31.4,55,749,6.7,24,88.52,0.55
5,8/27/2023,30.1,52,468,6.7,25,86.18,0.52
5,8/28/2023,29.4,67,470,6.4,26,84.92,0.67
5,8/29/2023,28.7,58,565,6.5,27,83.66,0.58
5,8/30/2023,29.1,75,516,6.5,28,84.38,0.75
5,8/31/2023,29.2,54,410,6.6,29,84.56,0.54
5,9/1/2023,31.7,66,763,6.1,30,89.06,0.66
5,9/2/2023,31.7,56,413,6.4,31,89.06,0.56
5,9/3/2023,31.7,67,468,6.2,32,89.06,0.67
5,9/4/2023,31.7,66,422,6.5,33,89.06,0.66
5,9/5/2023,32,66,661,6.2,34,89.6,0.66
5,9/6/2023,32.1,72,605,6.2,35,89.78,0.72
5,9/7/2023,31.5,70,768,6.8,36,88.7,0.7
5,9/8/2023,29.8,65,645,6.3,37,85.64,0.65
5,9/9/2023,20.1,54,661,6.3,38,68.18,0.54
5,9/10/2023,31.1,76,573,6.4,39,87.98,0.76
5,9/11/2023,31.2,52,471,6.7,40,88.16,0.52
5,9/12/2023,31.2,72,738,6.2,41,88.16,0.72
5,9/13/2023,30.4,60,529,6.1,42,86.72,0.6
5,9/14/2023,29.1,58,576,6.2,43,84.38,0.58
5,9/15/2023,30.6,77,453,6.1,44,87.08,0.77
5,9/16/2023,31.5,80,483,6.5,45,88.7,0.8
6,8/3/2023,33.4,66,795,6.1,1,92.12,0.66
6,8/4/2023,33.5,77,738,6.5,2,92.3,0.77
6,8/5/2023,33.4,66,662,6.4,3,92.12,0.66
6,8/6/2023,33.4,56,653,6.3,4,92.12,0.56
6,8/7/2023,33.4,62,521,6.7,5,92.12,0.62
6,8/8/2023,32.3,65,482,6.7,6,90.14,0.65
6,8/9/2023,32.3,60,620,6.6,7,90.14,0.6
6,8/10/2023,22.7,74,740,6.6,8,72.86,0.74
6,8/11/2023,31.9,73,760,6.3,9,89.42,0.73
6,8/12/2023,30.2,71,485,6.4,10,86.36,0.71
6,8/13/2023,30.1,59,648,6.1,11,86.18,0.59
6,8/14/2023,30.1,64,490,6.6,12,86.18,0.64
6,8/15/2023,30.1,74,425,6.1,13,86.18,0.74
6,8/16/2023,29.8,78,755,6.8,14,85.64,0.78
6,8/17/2023,29.6,50,437,6.6,15,85.28,0.5
6,8/18/2023,30.9,59,666,6.4,16,87.62,0.59
6,8/19/2023,30.8,58,583,6.6,17,87.44,0.58
6,8/20/2023,30.9,56,568,6.2,18,87.62,0.56
6,8/21/2023,30.2,73,662,6.2,19,86.36,0.73
6,8/22/2023,30.5,63,553,6.5,20,86.9,0.63
6,8/23/2023,30.8,54,474,6.7,21,87.44,0.54
6,8/24/2023,31.3,51,596,6.5,22,88.34,0.51
6,8/25/2023,31.4,73,614,6.7,23,88.52,0.73
6,8/26/2023,31.4,52,500,6.2,24,88.52,0.52
6,8/27/2023,30.1,51,474,6.2,25,86.18,0.51
6,8/28/2023,29.4,76,515,6.5,26,84.92,0.76
6,8/29/2023,28.7,65,693,6,27,83.66,0.65
6,8/30/2023,29.1,68,782,6.2,28,84.38,0.68
6,8/31/2023,29.2,59,626,6.6,29,84.56,0.59
6,9/1/2023,31.7,77,512,6.5,30,89.06,0.77
6,9/2/2023,31.7,77,742,6.5,31,89.06,0.77
6,9/3/2023,31.7,53,757,6.5,32,89.06,0.53
6,9/4/2023,31.7,77,456,6.8,33,89.06,0.77
6,9/5/2023,32,64,642,6.4,34,89.6,0.64
6,9/6/2023,32.1,61,517,6.7,35,89.78,0.61
6,9/7/2023,31.5,56,701,6,36,88.7,0.56
6,9/8/2023,29.8,74,793,6.7,37,85.64,0.74
6,9/9/2023,20.1,55,490,6.5,38,68.18,0.55
6,9/10/2023,31.1,71,555,6.2,39,87.98,0.71
6,9/11/2023,31.2,56,549,6.5,40,88.16,0.56
6,9/12/2023,31.2,57,793,6.4,41,88.16,0.57
6,9/13/2023,30.4,68,491,6.6,42,86.72,0.68
6,9/14/2023,29.1,68,789,6.2,43,84.38,0.68
6,9/15/2023,30.6,61,741,6.3,44,87.08,0.61
6,9/16/2023,31.5,71,591,6.4,45,88.7,0.71
7,8/3/2023,33.4,74,459,6.5,1,92.12,0.74
7,8/4/2023,33.5,78,598,6.3,2,92.3,0.78
7,8/5/2023,33.4,51,507,6.1,3,92.12,0.51
7,8/6/2023,33.4,58,583,6.1,4,92.12,0.58
7,8/7/2023,33.4,75,555,6.2,5,92.12,0.75
7,8/8/2023,32.3,61,684,6.7,6,90.14,0.61
7,8/9/2023,32.3,64,769,6.1,7,90.14,0.64
7,8/10/2023,22.7,70,566,6,8,72.86,0.7
7,8/11/2023,31.9,68,763,6.5,9,89.42,0.68
7,8/12/2023,30.2,80,782,6.5,10,86.36,0.8
7,8/13/2023,30.1,68,432,6.4,11,86.18,0.68
7,8/14/2023,30.1,56,676,6.8,12,86.18,0.56
7,8/15/2023,30.1,52,780,6.5,13,86.18,0.52
7,8/16/2023,29.8,53,778,6.1,14,85.64,0.53
7,8/17/2023,29.6,58,491,6.6,15,85.28,0.58
7,8/18/2023,30.9,72,536,6.8,16,87.62,0.72
7,8/19/2023,30.8,60,701,6.3,17,87.44,0.6
7,8/20/2023,30.9,77,730,6.4,18,87.62,0.77
7,8/21/2023,30.2,51,619,6.3,19,86.36,0.51
7,8/22/2023,30.5,71,503,6.2,20,86.9,0.71
7,8/23/2023,30.8,58,503,6.2,21,87.44,0.58
7,8/24/2023,31.3,57,552,6.1,22,88.34,0.57
7,8/25/2023,31.4,77,617,6.5,23,88.52,0.77
7,8/26/2023,31.4,61,640,6.6,24,88.52,0.61
7,8/27/2023,30.1,55,600,6.5,25,86.18,0.55
7,8/28/2023,29.4,79,670,6.7,26,84.92,0.79
7,8/29/2023,28.7,63,541,6,27,83.66,0.63
7,8/30/2023,29.1,62,498,6.5,28,84.38,0.62
7,8/31/2023,29.2,80,426,6.6,29,84.56,0.8
7,9/1/2023,31.7,52,583,6.5,30,89.06,0.52
7,9/2/2023,31.7,67,696,6.7,31,89.06,0.67
7,9/3/2023,31.7,71,781,6.6,32,89.06,0.71
7,9/4/2023,31.7,79,436,6.7,33,89.06,0.79
7,9/5/2023,32,78,466,6.6,34,89.6,0.78
7,9/6/2023,32.1,76,472,6.5,35,89.78,0.76
7,9/7/2023,31.5,54,749,6.8,36,88.7,0.54
7,9/8/2023,29.8,54,645,6.4,37,85.64,0.54
7,9/9/2023,20.1,63,555,6.2,38,68.18,0.63
7,9/10/2023,31.1,53,545,6.2,39,87.98,0.53
7,9/11/2023,31.2,53,800,6.7,40,88.16,0.53
7,9/12/2023,31.2,52,468,6.7,41,88.16,0.52
7,9/13/2023,30.4,52,777,6.6,42,86.72,0.52
7,9/14/2023,29.1,60,459,6.6,43,84.38,0.6
7,9/15/2023,30.6,69,787,6,44,87.08,0.69
7,9/16/2023,31.5,72,508,6.3,45,88.7,0.72
7,9/17/2023,29.1,62,696,6.5,46,84.38,0.62
7,9/18/2023,30.5,58,600,6.2,47,86.9,0.58
8,8/3/2023,33.4,76,650,6,1,92.12,0.76
8,8/4/2023,33.5,77,457,6.3,2,92.3,0.77
8,8/5/2023,33.4,72,454,6.7,3,92.12,0.72
8,8/6/2023,33.4,71,673,6.4,4,92.12,0.71
8,8/7/2023,33.4,78,700,6,5,92.12,0.78
8,8/8/2023,32.3,63,588,6.7,6,90.14,0.63
8,8/9/2023,32.3,59,434,6.4,7,90.14,0.59
8,8/10/2023,22.7,60,708,6.6,8,72.86,0.6
8,8/11/2023,31.9,64,699,6.6,9,89.42,0.64
8,8/12/2023,30.2,55,403,6.6,10,86.36,0.55
8,8/13/2023,30.1,77,606,6.3,11,86.18,0.77
8,8/14/2023,30.1,57,763,6.3,12,86.18,0.57
8,8/15/2023,30.1,59,727,6.2,13,86.18,0.59
8,8/16/2023,29.8,51,649,6.4,14,85.64,0.51
8,8/17/2023,29.6,74,586,6.5,15,85.28,0.74
8,8/18/2023,30.9,70,415,6.6,16,87.62,0.7
8,8/19/2023,30.8,62,422,6.4,17,87.44,0.62
8,8/20/2023,30.9,76,781,6.5,18,87.62,0.76
8,8/21/2023,30.2,79,742,6.7,19,86.36,0.79
8,8/22/2023,30.5,53,715,6.1,20,86.9,0.53
8,8/23/2023,30.8,59,411,6,21,87.44,0.59
8,8/24/2023,31.3,67,553,6.1,22,88.34,0.67
8,8/25/2023,31.4,73,565,6.2,23,88.52,0.73
8,8/26/2023,31.4,79,619,6.3,24,88.52,0.79
8,8/27/2023,30.1,68,542,6.7,25,86.18,0.68
8,8/28/2023,29.4,54,559,6.2,26,84.92,0.54
8,8/29/2023,28.7,78,779,6.5,27,83.66,0.78
8,8/30/2023,29.1,72,630,6.4,28,84.38,0.72
8,8/31/2023,29.2,55,483,6.4,29,84.56,0.55
8,9/1/2023,31.7,61,775,6.6,30,89.06,0.61
8,9/2/2023,31.7,54,458,6.6,31,89.06,0.54
8,9/3/2023,31.7,76,438,6.5,32,89.06,0.76
8,9/4/2023,31.7,63,538,6.4,33,89.06,0.63
8,9/5/2023,32,75,697,6.7,34,89.6,0.75
8,9/6/2023,32.1,50,605,6.4,35,89.78,0.5
8,9/7/2023,31.5,75,555,6.6,36,88.7,0.75
8,9/8/2023,29.8,75,484,6.2,37,85.64,0.75
8,9/9/2023,20.1,69,763,6.8,38,68.18,0.69
8,9/10/2023,31.1,75,698,6.7,39,87.98,0.75
8,9/11/2023,31.2,76,720,6.5,40,88.16,0.76
8,9/12/2023,31.2,51,768,6.1,41,88.16,0.51
8,9/13/2023,30.4,78,472,6.2,42,86.72,0.78
8,9/14/2023,29.1,51,458,6.2,43,84.38,0.51
8,9/15/2023,30.6,50,632,6.2,44,87.08,0.5
8,9/16/2023,31.5,65,546,6.2,45,88.7,0.65
9,8/3/2023,33.4,72,693,6.4,1,92.12,0.72
9,8/4/2023,33.5,80,434,6,2,92.3,0.8
9,8/5/2023,33.4,70,671,6.3,3,92.12,0.7
9,8/6/2023,33.4,64,613,6.1,4,92.12,0.64
9,8/7/2023,33.4,79,731,6.3,5,92.12,0.79
9,8/8/2023,32.3,70,658,6.3,6,90.14,0.7
9,8/9/2023,32.3,62,538,6.6,7,90.14,0.62
9,8/10/2023,22.7,72,455,6.2,8,72.86,0.72
9,8/11/2023,31.9,62,646,6.7,9,89.42,0.62
9,8/12/2023,30.2,74,563,6.8,10,86.36,0.74
9,8/13/2023,30.1,80,791,6.4,11,86.18,0.8
9,8/14/2023,30.1,72,473,6.6,12,86.18,0.72
9,8/15/2023,30.1,52,602,6.3,13,86.18,0.52
9,8/16/2023,29.8,66,613,6.3,14,85.64,0.66
9,8/17/2023,29.6,63,613,6.7,15,85.28,0.63
9,8/18/2023,30.9,79,569,6.4,16,87.62,0.79
9,8/19/2023,30.8,73,610,6.5,17,87.44,0.73
9,8/20/2023,30.9,57,746,6.2,18,87.62,0.57
9,8/21/2023,30.2,66,607,6.1,19,86.36,0.66
9,8/22/2023,30.5,71,464,6.3,20,86.9,0.71
9,8/23/2023,30.8,70,474,6.1,21,87.44,0.7
9,8/24/2023,31.3,59,461,6.1,22,88.34,0.59
9,8/25/2023,31.4,61,667,6.2,23,88.52,0.61
9,8/26/2023,31.4,69,721,6.1,24,88.52,0.69
9,8/27/2023,30.1,50,775,6.6,25,86.18,0.5
9,8/28/2023,29.4,74,445,6.1,26,84.92,0.74
9,8/29/2023,28.7,78,635,6.5,27,83.66,0.78
9,8/30/2023,29.1,73,684,6.7,28,84.38,0.73
9,8/31/2023,29.2,54,784,6,29,84.56,0.54
9,9/1/2023,31.7,66,597,6.1,30,89.06,0.66
9,9/2/2023,31.7,77,501,6.4,31,89.06,0.77
9,9/3/2023,31.7,55,490,6.4,32,89.06,0.55
9,9/4/2023,31.7,55,468,6.2,33,89.06,0.55
9,9/5/2023,32,66,680,6.4,34,89.6,0.66
9,9/6/2023,32.1,70,561,6.7,35,89.78,0.7
9,9/7/2023,31.5,54,697,6,36,88.7,0.54
9,9/8/2023,29.8,61,629,6.7,37,85.64,0.61
9,9/9/2023,20.1,66,644,6.4,38,68.18,0.66
9,9/10/2023,31.1,69,726,6.7,39,87.98,0.69
9,9/11/2023,31.2,65,573,6.2,40,88.16,0.65
9,9/12/2023,31.2,80,793,6.6,41,88.16,0.8
9,9/13/2023,30.4,51,663,6.5,42,86.72,0.51
9,9/14/2023,29.1,67,516,6.3,43,84.38,0.67
9,9/15/2023,30.6,58,455,6.7,44,87.08,0.58
9,9/16/2023,31.5,78,722,6.1,45,88.7,0.78
9,9/17/2023,31.3,66,505,6.2,46,88.34,0.66
10,8/3/2023,33.4,66,503,6.5,1,92.12,0.66
10,8/4/2023,33.5,58,414,6.5,2,92.3,0.58
10,8/5/2023,33.4,76,679,6.1,3,92.12,0.76
10,8/6/2023,33.4,56,607,6.4,4,92.12,0.56
10,8/7/2023,33.4,53,527,6.3,5,92.12,0.53
10,8/8/2023,32.3,75,658,6.3,6,90.14,0.75
10,8/9/2023,32.3,72,623,6.7,7,90.14,0.72
10,8/10/2023,22.7,74,778,6.6,8,72.86,0.74
10,8/11/2023,31.9,67,512,6.4,9,89.42,0.67
10,8/12/2023,30.2,60,800,6.7,10,86.36,0.6
10,8/13/2023,30.1,52,471,6.2,11,86.18,0.52
10,8/14/2023,30.1,62,552,6.8,12,86.18,0.62
10,8/15/2023,30.1,74,701,6.6,13,86.18,0.74
10,8/16/2023,29.8,51,594,6.5,14,85.64,0.51
10,8/17/2023,29.6,73,419,6.2,15,85.28,0.73
10,8/18/2023,30.9,73,579,6.1,16,87.62,0.73
10,8/19/2023,30.8,50,493,6,17,87.44,0.5
10,8/20/2023,30.9,53,721,6.4,18,87.62,0.53
10,8/21/2023,30.2,77,778,6.2,19,86.36,0.77
10,8/22/2023,30.5,67,668,6.8,20,86.9,0.67
10,8/23/2023,30.8,57,609,6.6,21,87.44,0.57
10,8/24/2023,31.3,64,746,6.3,22,88.34,0.64
10,8/25/2023,31.4,79,725,6.2,23,88.52,0.79
10,8/26/2023,31.4,60,593,6.3,24,88.52,0.6
10,8/27/2023,30.1,77,560,6.5,25,86.18,0.77
10,8/28/2023,29.4,74,597,6.6,26,84.92,0.74
10,8/29/2023,28.7,56,613,6.6,27,83.66,0.56
10,8/30/2023,29.1,59,704,6.5,28,84.38,0.59
10,8/31/2023,29.2,54,585,6.5,29,84.56,0.54
10,9/1/2023,31.7,59,616,6.1,30,89.06,0.59
10,9/2/2023,31.7,78,697,6.4,31,89.06,0.78
10,9/3/2023,31.7,71,623,6.1,32,89.06,0.71
10,9/4/2023,31.7,69,649,6.4,33,89.06,0.69
10,9/5/2023,32,72,440,6.2,34,89.6,0.72
10,9/6/2023,32.1,72,469,6.3,35,89.78,0.72
10,9/7/2023,31.5,72,603,6.4,36,88.7,0.72
10,9/8/2023,29.8,57,440,6.6,37,85.64,0.57
